payload,label,type
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,SUB -13 NaN",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,AD -62 64",malicious,cmd_parse_error
"run_cmd,SUB -344 -181",benign,math
"run_cmd,ADDd -20 54",malicious,cmd_parse_error
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,SUB -72 abc",malicious,cmd_parse_error
"run_cmd,ADD -306 -893",benign,math
"run_cmd,ADDd -65 -49",malicious,cmd_parse_error
"runcmd,ADD 47 17",malicious,cmd_parse_error
"start_temp_report,abc",benign,temp
"run_cmd,echo temperature normal",benign,echo
"run_cmd,SUB 541 855",benign,math
"run_cmd,SUBB -76 -24",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"run_cmd,SUB 425 976",benign,math
"run_cmd,ADD -53 NaN",malicious,cmd_parse_error
"run_cmd,ADD -385 -344",benign,math
"echo,device ready",benign,echo
"echo,abc123",benign,echo
"echo,system ok",benign,echo
"run_cmd,SUB -259 -797",benign,math
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD -26 NaN",malicious,cmd_parse_error
"run_cmd,SUB -365 430",benign,math
"run_cmd,echo system ok",benign,echo
"start_temp_report,xyz",benign,temp
"start_temp_report,xyz",benign,temp
"run_cmd,SUB -21 1.5",malicious,cmd_parse_error
"run_cmd,ADD 1 -59 13",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,echo abc123",benign,echo
"runcmd,ADD 42 -30",malicious,cmd_parse_error
"start_temp_report,5",benign,temp
"start_temp_report,xyz",benign,temp
"run_cmd,ADD -47 902",benign,math
"run_cmd,SUB -933 -725",benign,math
"eco,ADD -2 25",malicious,cmd_parse_error
"run_cmd,SUB 137 -273",benign,math
"run_cmd,SUB 42 -24 -27",malicious,cmd_parse_error
"run_cmd,ADD -68 NaN",malicious,cmd_parse_error
"start_temp_report,5",benign,temp
"run_cmd,ADD -59 abc",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"run_cmd,AD -94 15",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,SUB -45 abc",malicious,cmd_parse_error
"echo,value > /tmp/leak",malicious,cmdi
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD 952 -638",benign,math
"echo,hello world",benign,echo
"start_temp_report,abc",malicious,temp_error
"run_cmd,ADD -947 -347",benign,math
"run_cmd,echo system ok",benign,echo
"run_cmd,echo user `whoami`",malicious,cmdi
"echo,device ready",benign,echo
"echo,done",benign,echo
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,AD 3 91",malicious,cmd_parse_error
"run_cmd,SUB -713 886",benign,math
"run_cmd,ADD -149 823",benign,math
"run_cmd,ADD 65 -91 -57",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,echo done",benign,echo
"echo,done",benign,echo
"run_cmd,SU -53 91",malicious,cmd_parse_error
"eco,ADD -8 -42",malicious,cmd_parse_error
"runcmd,ADD 37 9",malicious,cmd_parse_error
"start_temp_report,1.5",malicious,temp_error
"echo,done",benign,echo
"start_temp_report,-3",malicious,temp_error
"run_cmd,SUB 203 660",benign,math
"run_cmd,SUB -54 1.5",malicious,cmd_parse_error
"run_cmd,SUB 825 867",benign,math
"run_cmd,ADD -878 67",benign,math
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB -29 -83 -70",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,echo done",benign,echo
"run_cmd,ADD 73 abc",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"start_temp_report,abc",benign,temp
"run_cmd,ADD 88 -30 -95",malicious,cmd_parse_error
"run_cmd,SUB -52 1.5",malicious,cmd_parse_error
"run_cmd,SUB -67 -87 70",malicious,cmd_parse_error
"run_cmd,SUB -26 -15",benign,math
"run_cmd,ADD -13 -77 69",malicious,cmd_parse_error
"run_cmd,ADD -2 -365",benign,math
"echo,name=$USER; id",malicious,cmdi
"ech,ADD 41 25",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"run_cmd,SUB 850 -101",benign,math
"run_cmd,SUB 62 X",malicious,cmd_parse_error
"echo,abc123",benign,echo
"eco,ADD -43 -26",malicious,cmd_parse_error
"run_cmd,ADD 11 12 -82",malicious,cmd_parse_error
"echo,hello world",benign,echo
"run_cmd,ADD -73 96 38",malicious,cmd_parse_error
"start_temp_report,10",benign,temp
"run_cmd,echo system ok",benign,echo
"echo,system ok",benign,echo
"run_cmd,SUB -39 abc",malicious,cmd_parse_error
"run_cmd,SUB -675 634",benign,math
"run_cmd,ADDd -33 -48",malicious,cmd_parse_error
"run_cmd,ADD 42 -35 -42",malicious,cmd_parse_error
"echo,abc123",benign,echo
"start_temp_report,-3",malicious,temp_error
"run_cmd,ADD -228 -713",benign,math
"run_cmd,SUB -864 -205",benign,math
"run_cmd,ADD 94 64 -75",malicious,cmd_parse_error
"ech,ADD 5 -27",malicious,cmd_parse_error
"run_cmd,ADD -56 41 -23",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"run_cmd,SUB 15 -97 34",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"echo,temperature normal",benign,echo
"start_temp_report,10",benign,temp
"start_temp_report,0",malicious,temp_error
"run,ADD 49 -11",malicious,cmd_parse_error
"run_cmd,ADD -26 71 -93",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,echo hello world",benign,echo
"echo,done",benign,echo
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"echo,abc123",benign,echo
"run_cmd,SU -13 78",malicious,cmd_parse_error
"echo,<img src=x onerror=alert(1)>",malicious,cmdi
"echo,name=$USER; id",malicious,cmdi
"run_cmd,ADD -21 51 85",malicious,cmd_parse_error
"run_cmd,SUB -40 abc",malicious,cmd_parse_error
"run_cmd,SUB 588 -776",benign,math
"echo,device ready",benign,echo
"run_cmd,PLUS -79 -54",malicious,cmd_parse_error
"run_cmd,PLUS -46 23",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"echo,device ready",benign,echo
"run_cmd,ADD -31 abc",malicious,cmd_parse_error
"run_cmd,ADD -622 -740",benign,math
"echo,abc123",benign,echo
"echo,device ready",benign,echo
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,SUB -7 20 17",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"echo,temperature normal",benign,echo
"run_cmd,ADD 78 abc",malicious,cmd_parse_error
"run_cmd,ADD -495 -406",benign,math
"run_cmd,SUB -42 -82 46",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD -21 99 89",malicious,cmd_parse_error
"run_cmd,SUB 52 1.5",malicious,cmd_parse_error
"echo,system ok",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD -47 25 -60",malicious,cmd_parse_error
"run_cmd,SUB -226 -104",benign,math
"run_cmd,SUB -672 -497",benign,math
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,ADD 33 7 -36",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,ADD -344 416",benign,math
"run_cmd,AD -29 -67",malicious,cmd_parse_error
"run_cmd,SUB 87 1.5",malicious,cmd_parse_error
"echo,hello world",benign,echo
"run_cmd,ADD 11 abc",malicious,cmd_parse_error
"run_cmd,ADD 344 -17",benign,math
"run_cmd,SUB 453 152",benign,math
"run_cmd,ADD -53 449",benign,math
"run_cmd,AD -48 -58",malicious,cmd_parse_error
"run_cmd,echo system ok",benign,echo
"run_cmd,SUBB -61 71",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,ADD -753 717",benign,math
"echo,device ready",benign,echo
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,SUB 20 NaN",malicious,cmd_parse_error
"run_cmd,ADD 799 722",benign,math
"run_cmd,SUB 839 993",benign,math
"run_cmd,echo system ok",benign,echo
"start_temp_report,1",benign,temp
"run_cmd,SUB -538 -527",benign,math
"run_cmd,ADD 88 61 85",malicious,cmd_parse_error
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,echo done",benign,echo
"run_cmd,ADD 700 -274",benign,math
"run_cmd,AD 59 -64",malicious,cmd_parse_error
"run_cmd,SUB 631 -773",benign,math
"run_cmd,SUBB -66 24",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"run_cmd,ADD -12 663",benign,math
"run_cmd,SUB -962 49",benign,math
"start_temp_report,-1",malicious,temp_error
"echo,abc123",benign,echo
"echo,system ok",benign,echo
"echo,temperature normal",benign,echo
"run_cmd,SUB -31 59 -35",malicious,cmd_parse_error
"run_cmd,echo temperature normal",benign,echo
"run_cmd,SUB 856 -560",benign,math
"run_cmd,echo abc123",benign,echo
"run_cmd,SUB 58 NaN",malicious,cmd_parse_error
"start_temp_report,5",benign,temp
"run_cmd,echo hello world",benign,echo
"run_cmd,SUB -9 -587",benign,math
"run_cmd,ADD -24 213",benign,math
"echo,abc123",benign,echo
"run_cmd,SUB -656 882",benign,math
"echo,temperature normal",benign,echo
"runcmd,ADD 3 -45",malicious,cmd_parse_error
"run_cmd,SUM 64 -66",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,ADD 23 NaN",malicious,cmd_parse_error
"run_cmd,ADD -82 86 -73",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,SUB -484 65",benign,math
"run_cmd,SU 38 89",malicious,cmd_parse_error
"run_cmd,SUB 955 628",benign,math
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB 80 236",benign,math
"run_cmd,echo temperature normal",benign,echo
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,echo system ok",benign,echo
"echo,abc123",benign,echo
"start_temp_report,60",benign,temp
"run_cmd,ADD -67 1.5",malicious,cmd_parse_error
"run_cmd,SUB -413 556",benign,math
"start_temp_report,1",benign,temp
"run_cmd,echo system ok",benign,echo
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"run_cmd,SUM -6 41",malicious,cmd_parse_error
"start_temp_report,1.5",malicious,temp_error
"run_cmd,ADD 95 1.5",malicious,cmd_parse_error
"rn_cmd,ADD 5 35",malicious,cmd_parse_error
"echo,device ready",benign,echo
"run_cmd,SUB -36 -7 75",malicious,cmd_parse_error
"run_cmd,echo ping 8.8.8.8 && reboot",malicious,cmdi
"start_temp_report,0",malicious,temp_error
"start_temp_report,60",benign,temp
"run_cmd,SUB -9 NaN",malicious,cmd_parse_error
"echo,value > /tmp/leak",malicious,cmdi
"start_temp_report,0",malicious,temp_error
"run_cmd,SUB -86 -82 34",malicious,cmd_parse_error
"start_temp_report,1.5",malicious,temp_error
"runcmd,ADD -41 15",malicious,cmd_parse_error
"echo,system ok",benign,echo
"echo,system ok",benign,echo
"run_cmd,ADD -71 X",malicious,cmd_parse_error
"run_cmd,ADD 8 -63 5",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,echo abc123",benign,echo
"rn_cmd,ADD -2 -41",malicious,cmd_parse_error
"echo,system ok",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"run_cmd,SUB -63 443",benign,math
"echo,temperature normal",benign,echo
"run_cmd,SUB -37 21 -31",malicious,cmd_parse_error
"run_cmd,PLUS -1 11",malicious,cmd_parse_error
"run_cmd,ADD 89 1.5",malicious,cmd_parse_error
"run_cmd,SU -50 70",malicious,cmd_parse_error
"run_cmd,ADD -68 1.5",malicious,cmd_parse_error
"run_cmd,SUB 34 NaN",malicious,cmd_parse_error
"run_cmd,ADD -906 -277",benign,math
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,echo device ready",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,ADD 100 X",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"echo,abc123",benign,echo
"run_cmd,ADD -74 -54 -53",malicious,cmd_parse_error
"run_cmd,SUB 59 X",malicious,cmd_parse_error
"echo,temperature normal",benign,echo
"echo,temperature normal",benign,echo
"run_cmd,SUB -330 -824",benign,math
"run_cmd,ADD -64 80 69",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,ADD -26 21 6",malicious,cmd_parse_error
"run_cmd,SUB 558 801",benign,math
"run_cmd,ADD 25 -85 -6",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"echo,<script>alert(1)</script>",malicious,cmdi
"ech,ADD -46 7",malicious,cmd_parse_error
"run_cmd,SUB 96 abc",malicious,cmd_parse_error
"echo,hello world",benign,echo
"echo,temperature normal",benign,echo
"run,ADD 0 -48",malicious,cmd_parse_error
"rn_cmd,ADD -1 49",malicious,cmd_parse_error
"echo,done",benign,echo
"echo,done",benign,echo
"echo,done",benign,echo
"run_cmd,SUB -325 208",benign,math
"echo,device ready",benign,echo
"run_cmd,echo hello world",benign,echo
"echo,abc123",benign,echo
"echo,abc123",benign,echo
"run_cmd,echo hello world",benign,echo
"run_cmd,echo device ready",benign,echo
"run_cmd,ADD 858 361",benign,math
"run_cmd,SUB -16 abc",malicious,cmd_parse_error
"echo,done",benign,echo
"run_cmd,ADD -90 1.5",malicious,cmd_parse_error
"echo,device ready",benign,echo
"echo,device ready",benign,echo
"run_cmd,echo done",benign,echo
"run_cmd,echo done",benign,echo
"run_cmd,echo system ok",benign,echo
"ech,ADD 33 -37",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,echo hello; rm -rf /",malicious,cmdi
"start_temp_report,abc",benign,temp
"run_cmd,ADD 648 -428",benign,math
"run_cmd,PLUS -66 7",malicious,cmd_parse_error
"run_cmd,AD 10 -48",malicious,cmd_parse_error
"run_cmd,ADD 109 920",benign,math
"run_cmd,ADDd 26 -98",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"echo,value > /tmp/leak",malicious,cmdi
"run_cmd,echo abc123",benign,echo
"run_cmd,SUB -33 -41 -46",malicious,cmd_parse_error
"echo,device ready",benign,echo
"start_temp_report,5",benign,temp
"run_cmd,ADD -96 NaN",malicious,cmd_parse_error
"run_cmd,SUB 75 abc",malicious,cmd_parse_error
"run_cmd,SUB -10 X",malicious,cmd_parse_error
"run_cmd,SUB 747 -599",benign,math
"echo,hello world",benign,echo
"echo,temperature normal",benign,echo
"start_temp_report,xyz",benign,temp
"start_temp_report,1.5",malicious,temp_error
"run_cmd,echo system ok",benign,echo
"run_cmd,echo abc123",benign,echo
"echo,done",benign,echo
"echo,done",benign,echo
"echo,done",benign,echo
"start_temp_report,1",benign,temp
"run_cmd,SUB 98 7 -2",malicious,cmd_parse_error
"run_cmd,SUB 78 76 -32",malicious,cmd_parse_error
"run_cmd,SUB -49 47 50",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,ADDd -52 -34",malicious,cmd_parse_error
"run_cmd,echo status | cat /etc/passwd",malicious,cmdi
"run_cmd,SUB 71 -42 6",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,SUBB -82 51",malicious,cmd_parse_error
"start_temp_report,-3",malicious,temp_error
"run_cmd,echo temperature normal",benign,echo
"run_cmd,ADD -573 -475",benign,math
"run_cmd,SUBB -54 88",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,SUB -257 -857",benign,math
"echo,hello world",benign,echo
"echo,hi && shutdown now",malicious,cmdi
"start_temp_report,abc",benign,temp
"run_cmd,PLUS -15 -75",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,ADD 219 506",benign,math
"run_cmd,echo done",benign,echo
"run_cmd,SUB 17 abc",malicious,cmd_parse_error
"run_cmd,ADD -604 497",benign,math
"run_cmd,ADD 97 X",malicious,cmd_parse_error
"run_cmd,ADD 50 425",benign,math
"run_cmd,ADD 80 -10 -60",malicious,cmd_parse_error
"start_temp_report,abc",malicious,temp_error
"echo,hello world",benign,echo
"run_cmd,ADD 10 74 -42",malicious,cmd_parse_error
"runcmd,ADD 49 34",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,SUB 581 124",benign,math
"run_cmd,AD -89 42",malicious,cmd_parse_error
"run_cmd,SUB -717 867",benign,math
"run_cmd,echo hello world",benign,echo
"run_cmd,SUB -759 775",benign,math
"echo,abc123",benign,echo
"run_cmd,SUB 9 -43 -97",malicious,cmd_parse_error
"echo,device ready",benign,echo
"start_temp_report,abc",benign,temp
"start_temp_report,0",malicious,temp_error
"run_cmd,echo device ready",benign,echo
"echo,value > /tmp/leak",malicious,cmdi
"ech,ADD 17 -39",malicious,cmd_parse_error
"run_cmd,ADD 13 X",malicious,cmd_parse_error
"run_cmd,ADD -8 abc",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"start_temp_report,60",benign,temp
"run_cmd,SUB 50 X",malicious,cmd_parse_error
"run_cmd,SU 22 24",malicious,cmd_parse_error
"run_cmd,ADD 96 38 27",malicious,cmd_parse_error
"echo,system ok",benign,echo
"eco,ADD 30 -35",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,echo temperature normal",benign,echo
"run_cmd,SUB 60 -5 -55",malicious,cmd_parse_error
"run_cmd,ADD -24 abc",malicious,cmd_parse_error
"run_cmd,echo done",benign,echo
"run_cmd,SUB -14 1.5",malicious,cmd_parse_error
"run_cmd,ADD 302 -952",benign,math
"run_cmd,ADD 88 -98 -91",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,echo hello world",benign,echo
"run_cmd,SUB 171 -934",benign,math
"run_cmd,ADD -428 134",benign,math
"start_temp_report,60",benign,temp
"run_cmd,SUB 15 -60 -43",malicious,cmd_parse_error
"start_temp_report,10",benign,temp
"run_cmd,SUB 20 abc",malicious,cmd_parse_error
"echo,abc123",benign,echo
"run_cmd,SUB -691 -821",benign,math
"run_cmd,echo abc123",benign,echo
"run_cmd,PLUS 70 19",malicious,cmd_parse_error
"run_cmd,echo abc123",benign,echo
"run_cmd,ADD 35 1.5",malicious,cmd_parse_error
"ech,ADD -7 4",malicious,cmd_parse_error
"echo,name=$USER; id",malicious,cmdi
"run,ADD -24 11",malicious,cmd_parse_error
"echo,system ok",benign,echo
"run_cmd,SUB -85 NaN",malicious,cmd_parse_error
"run_cmd,SUB 58 -9 -67",malicious,cmd_parse_error
"echo,device ready",benign,echo
"start_temp_report,abc",benign,temp
"start_temp_report,10",benign,temp
"run_cmd,echo ok && echo hacked",malicious,cmdi
"run_cmd,PLUS 81 -99",malicious,cmd_parse_error
"run_cmd,SUB -23 1.5",malicious,cmd_parse_error
"run_cmd,echo device ready",benign,echo
"run_cmd,ADDd -43 61",malicious,cmd_parse_error
"run_cmd,SUB 60 1.5",malicious,cmd_parse_error
"run_cmd,ADD -13 -9 -87",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,ADD -86 -732",benign,math
"run_cmd,SUB 113 -925",benign,math
"run_cmd,SUB 750 799",benign,math
"run_cmd,AD 18 -42",malicious,cmd_parse_error
"run_cmd,ADD -30 27 -39",malicious,cmd_parse_error
"run_cmd,SUB -933 608",benign,math
"ech,ADD -35 37",malicious,cmd_parse_error
"start_temp_report,60",benign,temp
"run_cmd,SUB 58 -45 65",malicious,cmd_parse_error
"run_cmd,ADD 806 43",benign,math
"run_cmd,SUB 524 81",benign,math
"run_cmd,ADD -32 abc",malicious,cmd_parse_error
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,ADD 503 373",benign,math
"run_cmd,ADD 7 X",malicious,cmd_parse_error
"run_cmd,SUB -98 -3 32",malicious,cmd_parse_error
"run_cmd,echo device ready",benign,echo
"run_cmd,SUB -336 4",benign,math
"run_cmd,ADD -75 362",benign,math
"run_cmd,echo user `whoami`",malicious,cmdi
"run_cmd,SUB -94 1.5",malicious,cmd_parse_error
"start_temp_report,abc",benign,temp
"run_cmd,echo abc123",benign,echo
"echo,system ok",benign,echo
"run_cmd,ADD -119 -399",benign,math
"start_temp_report,5",benign,temp
"run_cmd,SUB 24 64 64",malicious,cmd_parse_error
"run_cmd,ADD 7 NaN",malicious,cmd_parse_error
"run_cmd,ADD -788 -823",benign,math
"echo,hello world",benign,echo
"run_cmd,SU 90 -48",malicious,cmd_parse_error
"echo,<script>alert(1)</script>",malicious,cmdi
"run_cmd,SUM -71 48",malicious,cmd_parse_error
"echo,hello world",benign,echo
"run,ADD -9 4",malicious,cmd_parse_error
"run_cmd,SUB -586 70",benign,math
"run_cmd,ADD -85 66 -56",malicious,cmd_parse_error
"run_cmd,SUB 0 -65 43",malicious,cmd_parse_error
"run_cmd,SUB -34 NaN",malicious,cmd_parse_error
"run_cmd,ADD 180 674",benign,math
"run_cmd,SUB -242 542",benign,math
"run_cmd,ADD 749 421",benign,math
"run_cmd,SUB 42 -27 -98",malicious,cmd_parse_error
"run_cmd,ADD 247 396",benign,math
"run_cmd,SUB 50 X",malicious,cmd_parse_error
"run_cmd,echo hello world",benign,echo
"run_cmd,echo hello world",benign,echo
"start_temp_report,xyz",benign,temp
"start_temp_report,60",benign,temp
"run_cmd,ADD 976 -233",benign,math
"run_cmd,ADD -71 86 25",malicious,cmd_parse_error
"run_cmd,echo ok && echo hacked",malicious,cmdi
"start_temp_report,0",malicious,temp_error
"run_cmd,SUB 22 abc",malicious,cmd_parse_error
"start_temp_report,xyz",benign,temp
"echo,done",benign,echo
"run_cmd,echo system ok",benign,echo
"run_cmd,echo temperature normal",benign,echo
"ech,ADD -50 18",malicious,cmd_parse_error
"runcmd,ADD -3 -35",malicious,cmd_parse_error
"start_temp_report,-3",malicious,temp_error
"run_cmd,ADD -748 486",benign,math
