payload,label,attack_type
"run_cmd, echo ['esp32']",benign,norm
26135,malicious,cmd_parse_error
"run_cmd, ADD 189 360",benign,norm
"run_cmd, echo ['status', 'normal', 'ready', 'mqtt']",benign,norm
"start_temp_report, 79",benign,norm
cabaas del castillo,malicious,cmd_parse_error
"echo, ['hello', 'report', 'mqtt']",benign,norm
"run_cmd, ADD 708 956",benign,norm
"echo, ['iot', 'ping']",benign,norm
47649,malicious,cmd_parse_error
"1%';create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5) and '%'='",malicious,cmdi
"run_cmd, ADD 893 271",benign,norm
"start_temp_report, 106",benign,norm
larguey@erasmusrooms.qa,malicious,cmd_parse_error
8331341352065092,malicious,cmd_parse_error
"echo, ['data']",benign,norm
"run_cmd, echo ['data', 'ok']",benign,norm
"echo, ['ok']",benign,norm
"start_temp_report, 36",benign,norm
1%'));begin user_lock.sleep(5); end and (('%'=',malicious,cmdi
"run_cmd, ADD 124 473",benign,norm
"echo, ['report']",benign,norm
"run_cmd, echo ['data', 'normal', 'payload', 'iot']",benign,norm
"run_cmd, ADD 605 837",benign,norm
"run_cmd, ADD 660 114",benign,norm
"echo, ['esp32']",benign,norm
pico despuig,malicious,cmd_parse_error
"run_cmd, ADD 82 574",benign,norm
0567191601469528,malicious,cmd_parse_error
inobediecia,malicious,cmd_parse_error
"run_cmd, ADD 670 302",benign,norm
-6233') where 9820=9820 or 3038=3038,malicious,cmd_parse_error
"run_cmd, echo ['system', 'ping']",benign,norm
"start_temp_report, 103",benign,norm
"start_temp_report, 10",benign,norm
"-6593"") union all select 6216,6216,6216,6216,6216,6216,6216#",malicious,cmd_parse_error
"run_cmd, echo ['ok']",benign,norm
"echo, ['device']",benign,norm
"start_temp_report, 104",benign,norm
"start_temp_report, 102",benign,norm
rosselot azcona,malicious,cmd_parse_error
"run_cmd, ADD 878 652",benign,norm
"start_temp_report, 26",benign,norm
"run_cmd, echo ['hello']",benign,norm
"echo, ['hello']",benign,norm
"run_cmd, ADD 551 830",benign,norm
pager@cocheacoche.ws,malicious,cmd_parse_error
"run_cmd, echo ['normal', 'ready', 'hello']",benign,norm
"1%"")) union all select null,null,null,null,null,null,null,null,null--",malicious,cmd_parse_error
20629413t,malicious,cmd_parse_error
"echo, ['device', 'mqtt', 'payload', 'ready']",benign,norm
oestreic,malicious,cmd_parse_error
montvez zurita,malicious,cmd_parse_error
"1')) or elt(6272=6272,sleep(5)) and (('cwjd'='cwjd",malicious,cmd_parse_error
"run_cmd, echo ['system', 'ready']",benign,norm
garrovillas de alcontar,malicious,cmd_parse_error
"echo, ['safe', 'world']",benign,norm
7328487028477880,malicious,cmd_parse_error
"echo, ['payload']",benign,norm
jaqueline,malicious,cmd_parse_error
"run_cmd, echo ['world', 'payload', 'esp32', 'hello']",benign,norm
passeig nord 23 8b,malicious,cmd_parse_error
"start_temp_report, 75",benign,norm
"start_temp_report, 74",benign,norm
aceitn,malicious,cmd_parse_error
"run_cmd, echo ['status', 'payload', 'ok']",benign,norm
membro,malicious,cmd_parse_error
pons anguita,malicious,cmd_parse_error
buc_falo,malicious,cmd_parse_error
cecchetto casavieja,malicious,cmd_parse_error
calle siete cerros 144,malicious,cmd_parse_error
"echo, ['ok']",benign,norm
"start_temp_report, 56",benign,norm
"1'+(select 'hoqt' where 4877=4877 or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",malicious,cmd_parse_error
">""<div style=""background-image: url(javascript:document.cookie=true;);"">",malicious,cmdi
"run_cmd, ADD 597 222",benign,norm
"1'+(select kqac where 4362=4362 and 8312=dbms_pipe.receive_message(chr(69)||chr(79)||chr(101)||chr(68),5)--",malicious,cmdi
/iiiiiii{file},malicious,cmd_parse_error
"start_temp_report, 65",benign,norm
"run_cmd, echo ['ready', 'ping']",benign,norm
"start_temp_report, 119",benign,norm
"run_cmd, echo ['report', 'safe']",benign,norm
"c/ francisco santos, 96",malicious,cmd_parse_error
84950037c,malicious,cmd_parse_error
"1"") where 1330=1330 or (select * from (select(sleep(5)))ydpu)--",malicious,cmd_parse_error
-4713'))) or 4567=1287,malicious,cmd_parse_error
avellano,malicious,cmd_parse_error
"start_temp_report, 66",benign,norm
"run_cmd, echo ['device']",benign,norm
"start_temp_report, 85",benign,norm
"run_cmd, ADD 618 113",benign,norm
"echo, ['ping', 'hello']",benign,norm
"start_temp_report, 57",benign,norm
"1'+(select tafk where 9652=9652;select benchmark(5000000,md5(0x714e4153))#",malicious,cmdi
"run_cmd, ADD 804 98",benign,norm
marsa plomer,malicious,cmd_parse_error
"run_cmd, echo ['data', 'hello', 'status', 'world']",benign,norm
iruraiz-gauna,malicious,cmd_parse_error
7871313951029242,malicious,cmd_parse_error
"start_temp_report, 120",benign,norm
barkwill8,malicious,cmd_parse_error
50561,malicious,cmd_parse_error
"1'||(select 'jrbp' from dual where 4129=4129 or 8514=benchmark(5000000,md5(0x544d5a4c))#",malicious,cmdi
"run_cmd, echo ['device', 'mqtt', 'ping']",benign,norm
<img+src=x+onerror=prompt(1);>,malicious,xss
(select (case when (6783=6783) then 1 else 1/(select 0) end)),malicious,cmd_parse_error
"1"") as eaxo where 2728=2728;waitfor delay '0:0:5'--",malicious,cmdi
31519125v,malicious,cmd_parse_error
1%';select pg_sleep(5)--,malicious,cmdi
"echo, ['system', 'device', 'world', 'report']",benign,norm
"c/ arbitro eduardo vidal torres, 12, 4c",malicious,cmd_parse_error
"echo, ['hello', 'device', 'safe']",benign,norm
38036492n,malicious,cmd_parse_error
37795,malicious,cmd_parse_error
"1'||(select 'txyy' where 6500=6500 procedure analyse(extractvalue(9255,concat(0x5c,(benchmark(5000000,md5(0x52515a50))))),1))||'",malicious,cmdi
molas madan,malicious,cmd_parse_error
"echo, ['world', 'ping', 'esp32']",benign,norm
"calle del mistral, 65",malicious,cmd_parse_error
a24030dor4,malicious,cmd_parse_error
"-5027%"")) or 5903=('qqpjq'||(select case 5903 when 5903 then 1 else 0 end from rdb$database)||'qzvzq') and ((""%""=""",malicious,cmdi
"start_temp_report, 91",benign,norm
otumba 24 13e,malicious,cmd_parse_error
"-1663' or elt(1032=1032,3623) and 'yqaj' like 'yqaj",malicious,cmd_parse_error
"1%');select count(*) from generate_series(1,5000000)--",malicious,cmdi
"run_cmd, ADD 937 588",benign,norm
"run_cmd, echo ['system', 'normal', 'hello', 'report']",benign,norm
"run_cmd, echo ['iot', 'ok']",benign,norm
"start_temp_report, 3",benign,norm
monkman@encuentrodominios.org,malicious,cmd_parse_error
1' where 7882=7882 and 6663=4524--,malicious,cmd_parse_error
"echo, ['status', 'ping', 'system']",benign,norm
"start_temp_report, 85",benign,norm
"run_cmd, ADD 137 795",benign,norm
kazem@cup-id.as,malicious,cmd_parse_error
sikes,malicious,cmd_parse_error
"-6279') union all select 3026,3026,3026,3026,3026,3026,3026,3026--",malicious,cmd_parse_error
"1') and 6055=ctxsys.drithsx.sn(6055,(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (6055=6055) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)))",malicious,cmdi
"run_cmd, ADD 361 521",benign,norm
4091009305974951,malicious,cmd_parse_error
"run_cmd, echo ['ok', 'data']",benign,norm
"start_temp_report, 26",benign,norm
srdida.me3te,malicious,cmd_parse_error
"echo, ['normal', 'hello', 'status', 'report']",benign,norm
"start_temp_report, 109",benign,norm
prompt(1);>,malicious,cmdi
9087,malicious,cmd_parse_error
"start_temp_report, 78",benign,norm
"asuncion castell, 17",malicious,cmd_parse_error
ausent+e,malicious,cmd_parse_error
carol7@faders.com.bi,malicious,cmd_parse_error
"1""));if(7899=7899) select 7899 else drop function zbbp--",malicious,cmdi
valverde de valdelacasa,malicious,cmd_parse_error
"run_cmd, echo ['payload']",benign,norm
"run_cmd, ADD 957 989",benign,norm
"start_temp_report, 45",benign,norm
"<div datafld=""b"" dataformatas=""html"" dataid=xss src=""#xss""></div>",malicious,cmdi
"echo, ['system', 'device', 'hello', 'world']",benign,norm
"echo, ['mqtt', 'normal']",benign,norm
"cubo de tierra del vino, el",malicious,cmd_parse_error
"echo, ['device', 'ping']",benign,norm
"start_temp_report, 80",benign,norm
"1));select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4--",malicious,cmdi
"c/ violetas 43, 3-a",malicious,cmd_parse_error
"run_cmd, echo ['status']",benign,norm
"echo, ['mqtt', 'ping', 'normal', 'device']",benign,norm
"start_temp_report, 50",benign,norm
perpiny romero,malicious,cmd_parse_error
canudes,malicious,cmd_parse_error
"run_cmd, ADD 707 918",benign,norm
1;begin user_lock.sleep(5); end# ckxq,malicious,cmdi
bota,malicious,cmd_parse_error
sant jordi/san jorge,malicious,cmd_parse_error
"run_cmd, ADD 14 634",benign,norm
"1) and elt(1210=1210,sleep(5))",malicious,cmd_parse_error
"echo, ['system', 'world', 'status', 'esp32']",benign,norm
matlin@carrillo-de-albornoz.be,malicious,cmd_parse_error
1;if(5127=2829) select 5127 else drop function okos--,malicious,cmdi
4az,malicious,cmd_parse_error
pericas espaulella,malicious,cmd_parse_error
3630618381469017,malicious,cmd_parse_error
"run_cmd, echo ['system', 'sensor']",benign,norm
pierre,malicious,cmd_parse_error
"run_cmd, echo ['payload', 'system', 'sensor']",benign,norm
"1'||(select 'setd' from dual where 3686=3686 (select (case when (5451=5451) then regexp_substring(repeat(right(char(5451),0),500000000),null) else char(108)||char(76)||char(112)||char(116) end) from information_schema.system_users))||'",malicious,cmdi
"run_cmd, echo ['status', 'system', 'world']",benign,norm
frankeur@tardos.pro,malicious,cmd_parse_error
torreadrada,malicious,cmd_parse_error
8795473491595155,malicious,cmd_parse_error
"start_temp_report, 110",benign,norm
d:/inetpub/wwwroot/global.asa,malicious,cmd_parse_error
"start_temp_report, 75",benign,norm
zelda_hjelm5@silver-knights.it,malicious,cmd_parse_error
focas@programaciones.com.sz,malicious,cmd_parse_error
"run_cmd, ADD 171 620",benign,norm
"run_cmd, ADD 16 686",benign,norm
wyle@designworld.us,malicious,cmd_parse_error
"-7233"") where 7574=7574 or 5821=3288",malicious,cmd_parse_error
8615,malicious,cmd_parse_error
estribor 86 2-g,malicious,cmd_parse_error
0518984611180264,malicious,cmd_parse_error
angelika,malicious,cmd_parse_error
"start_temp_report, 49",benign,norm
"start_temp_report, 78",benign,norm
"run_cmd, echo ['data', 'iot']",benign,norm
"run_cmd, echo ['ready', 'sensor', 'payload', 'ok']",benign,norm
"1 union all select null,null#",malicious,cmd_parse_error
"run_cmd, echo ['report']",benign,norm
"1'+(select ummn where 8883=8883 and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))))+'",malicious,cmd_parse_error
"1' or 4915=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",malicious,cmd_parse_error
castellgal,malicious,cmd_parse_error
gardiner@enlapalma.com.tf,malicious,cmd_parse_error
"1')) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",malicious,cmd_parse_error
pillo,malicious,cmd_parse_error
"echo, ['device', 'hello', 'normal']",benign,norm
"echo, ['status', 'world', 'sensor', 'ready']",benign,norm
"1%"")) and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and ((""%""=""",malicious,cmdi
"run_cmd, ADD 967 367",benign,norm
"run_cmd, echo ['payload', 'mqtt', 'data']",benign,norm
"1"") where 9499=9499;(select * from (select(sleep(5)))acdk)#",malicious,cmdi
17403,malicious,cmd_parse_error
"run_cmd, echo ['data']",benign,norm
matosa,malicious,cmd_parse_error
1')));select (case when (6166=3364) then 6166 else cast(1 as int)/(select 0 from dual) end) from dual--,malicious,cmdi
"run_cmd, ADD 865 814",benign,norm
"echo, ['esp32', 'normal']",benign,norm
l1am217r5,malicious,cmd_parse_error
"1))) and 3824=benchmark(5000000,md5(0x76555642)) and (((6556=6556",malicious,cmd_parse_error
"1"" where 7279=7279 or 8514=benchmark(5000000,md5(0x544d5a4c))#",malicious,cmd_parse_error
"1')) and 3824=benchmark(5000000,md5(0x76555642)) and (('obeh'='obeh",malicious,cmd_parse_error
"1')));create or replace function sleep(int) returns int as '/lib/libc.so.6','sleep' language 'c' strict; select sleep(5)--",malicious,cmdi
"run_cmd, echo ['normal']",benign,norm
eslava,malicious,cmd_parse_error
"start_temp_report, 74",benign,norm
robledo,malicious,cmd_parse_error
"echo, ['esp32', 'hello', 'device']",benign,norm
"run_cmd, ADD 209 12",benign,norm
8653,malicious,cmd_parse_error
16824275m,malicious,cmd_parse_error
"run_cmd, echo ['data', 'sensor']",benign,norm
"run_cmd, echo ['data', 'esp32', 'sensor']",benign,norm
"start_temp_report, 57",benign,norm
"-6662"")) union all select 6755--",malicious,cmd_parse_error
"run_cmd, ADD 308 570",benign,norm
"<img src=""http://www.vulnerability-lab.com/file.php?variables=malicious"">",malicious,xss
"echo, ['data']",benign,norm
"run_cmd, ADD 869 52",benign,norm
1')) rlike sleep(5) and (('qitl' like 'qitl,malicious,cmd_parse_error
"echo, ['sensor']",benign,norm
"start_temp_report, 29",benign,norm
"run_cmd, echo ['iot', 'payload']",benign,norm
"1') where 5378=5378;select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual--",malicious,cmdi
598le65,malicious,cmd_parse_error
"o rio, 134,",malicious,cmd_parse_error
"echo, ['status', 'esp32']",benign,norm
"1'+(select tdkt where 4535=4535;select benchmark(5000000,md5(0x4c4d6142)))+'",malicious,cmdi
borrica,malicious,cmd_parse_error
"start_temp_report, 114",benign,norm
"run_cmd, ADD 233 348",benign,norm
"echo, ['device']",benign,norm
1%') and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ('%'=',malicious,cmd_parse_error
barrymore@hipermadrid.pe,malicious,cmd_parse_error
1);(select * from (select(sleep(5)))srmq) and (9069=9069,malicious,cmdi
pujal vilalta,malicious,cmd_parse_error
"run_cmd, ADD 185 103",benign,norm
"run_cmd, ADD 321 197",benign,norm
61621455q,malicious,cmd_parse_error
villafufre,malicious,cmd_parse_error
9oc3976u9o,malicious,cmd_parse_error
"1%' union all select null,null,null,null,null,null,null,null,null,null#",malicious,cmd_parse_error
translaticio,malicious,cmd_parse_error
kwokchoi,malicious,cmd_parse_error
"run_cmd, echo ['sensor', 'normal', 'ping']",benign,norm
"run_cmd, ADD 753 445",benign,norm
26064480y,malicious,cmd_parse_error
"start_temp_report, 117",benign,norm
"run_cmd, echo ['status', 'system', 'sensor']",benign,norm
"run_cmd, echo ['payload']",benign,norm
"run_cmd, echo ['payload', 'ready', 'mqtt', 'esp32']",benign,norm
/...{file},malicious,cmd_parse_error
"run_cmd, ADD 729 435",benign,norm
"run_cmd, echo ['ok', 'device']",benign,norm
"run_cmd, echo ['hello', 'normal']",benign,norm
"run_cmd, echo ['ready', 'ok', 'data', 'mqtt']",benign,norm
"start_temp_report, 51",benign,norm
"run_cmd, ADD 810 52",benign,norm
"start_temp_report, 73",benign,norm
"run_cmd, ADD 196 324",benign,norm
"start_temp_report, 29",benign,norm
50430,malicious,cmd_parse_error
"1) union all select null,null,null,null,null,null,null,null,null,null--",malicious,cmd_parse_error
"start_temp_report, 85",benign,norm
0h5rrad0,malicious,cmd_parse_error
"start_temp_report, 13",benign,norm
1)) as syot where 1199=1199;waitfor delay '0:0:5'--,malicious,cmdi
"c/ francisco de orellana 121, 5-e",malicious,cmd_parse_error
"-4031%"" union all select 9566--",malicious,cmd_parse_error
carson,malicious,cmd_parse_error
05684753g,malicious,cmd_parse_error
"1) or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and (7338=7338",malicious,cmd_parse_error
1)));begin dbms_lock.sleep(5); end--,malicious,cmdi
zapasiewicz@pinkplanetplasencia.bn,malicious,cmd_parse_error
"run_cmd, echo ['safe', 'sensor', 'ok', 'esp32']",benign,norm
7905893951677933,malicious,cmd_parse_error
"run_cmd, echo ['hello']",benign,norm
"start_temp_report, 63",benign,norm
"echo, ['hello', 'ping', 'mqtt']",benign,norm
</script></script><<<<script><>>>><<<script>alert(xss)</script>,malicious,xss
6m2rtam267t3,malicious,cmd_parse_error
38980059g,malicious,cmd_parse_error
"1"" where 5039=5039 and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",malicious,cmdi
"-8144') where 1691=1691 or elt(7246=7816,7816)--",malicious,cmd_parse_error
2319,malicious,cmd_parse_error
34791026f,malicious,cmd_parse_error
"echo, ['normal', 'system', 'payload', 'device']",benign,norm
"1') or (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(8113=8113,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610)))",malicious,cmd_parse_error
rasche2@cirugiaparpado.de,malicious,cmd_parse_error
"run_cmd, ADD 703 666",benign,norm
"start_temp_report, 12",benign,norm
"echo, ['mqtt', 'data']",benign,norm
"run_cmd, ADD 432 428",benign,norm
"1""))) and 9198=9198--",malicious,cmd_parse_error
"run_cmd, echo ['device']",benign,norm
"start_temp_report, 57",benign,norm
"run_cmd, echo ['device', 'normal', 'world', 'payload']",benign,norm
"start_temp_report, 83",benign,norm
padiernos,malicious,cmd_parse_error
oroz-betelu,malicious,cmd_parse_error
alpar-ornstein@rockefeller.nu,malicious,cmd_parse_error
"run_cmd, ADD 707 911",benign,norm
columbino,malicious,cmd_parse_error
cresta-da,malicious,cmd_parse_error
"run_cmd, echo ['hello']",benign,norm
"valencia, 79 12?h",malicious,cmd_parse_error
"echo, ['ok', 'world', 'iot']",benign,norm
"echo, ['data', 'status']",benign,norm
"echo, ['ok']",benign,norm
"echo, ['status', 'ping', 'mqtt', 'esp32']",benign,norm
doroteya,malicious,cmd_parse_error
donet acst,malicious,cmd_parse_error
"run_cmd, ADD 354 988",benign,norm
"-4588"" union all select 4550,4550,4550,4550#",malicious,cmd_parse_error
"start_temp_report, 26",benign,norm
jerusaln,malicious,cmd_parse_error
"start_temp_report, 40",benign,norm
"echo, ['report', 'system', 'status']",benign,norm
"run_cmd, ADD 399 662",benign,norm
"start_temp_report, 2",benign,norm
"1"" and elt(2373=5817,5817) and ""rsdt""=""rsdt",malicious,cmd_parse_error
8741178125642533,malicious,cmd_parse_error
"1%'));call regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null) and (('%'='",malicious,cmdi
28812,malicious,cmd_parse_error
1%';if(7899=7899) select 7899 else drop function zbbp--,malicious,cmdi
"run_cmd, ADD 423 418",benign,norm
9315752262778919,malicious,cmd_parse_error
23752403g,malicious,cmd_parse_error
"-2434) union all select 8310,8310,8310,8310,8310--",malicious,cmd_parse_error
"start_temp_report, 36",benign,norm
pagnol@tintaultravioleta.gob,malicious,cmd_parse_error
"-4477')) union all select 8444,8444,8444,8444,8444,8444,8444,8444--",malicious,cmd_parse_error
"echo, ['normal']",benign,norm
1' in boolean mode);select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,malicious,cmdi
"start_temp_report, 45",benign,norm
"1"");begin dbms_lock.sleep(5); end--",malicious,cmdi
consalve,malicious,cmd_parse_error
"start_temp_report, 23",benign,norm
"1%"" or 8315=(select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3) and ""%""=""",malicious,cmd_parse_error
"run_cmd, echo ['world', 'report', 'status', 'safe']",benign,norm
4522,malicious,cmd_parse_error
juifen5,malicious,cmd_parse_error
8529,malicious,cmd_parse_error
77603o8ada,malicious,cmd_parse_error
"run_cmd, echo ['hello']",benign,norm
"1"") as ubva where 6369=6369 and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",malicious,cmd_parse_error
faada,malicious,cmd_parse_error
"run_cmd, ADD 947 907",benign,norm
jade,malicious,cmd_parse_error
"-6294"" union all select 9921,9921,9921,9921,9921,9921--",malicious,cmd_parse_error
"start_temp_report, 49",benign,norm
"echo, ['mqtt', 'status']",benign,norm
"echo, ['normal', 'world']",benign,norm
"start_temp_report, 64",benign,norm
95328463h,malicious,cmd_parse_error
-1854') as fmmq where 7326=7326 or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--,malicious,cmdi
"echo, ['iot', 'system', 'safe', 'ping']",benign,norm
"run_cmd, echo ['normal', 'iot']",benign,norm
98367013s,malicious,cmd_parse_error
clarabel,malicious,cmd_parse_error
"echo, ['status', 'mqtt', 'world', 'ping']",benign,norm
53424203x,malicious,cmd_parse_error
"1"") rlike (select * from (select(sleep(5)))vwyq)#",malicious,cmd_parse_error
"start_temp_report, 19",benign,norm
"calle libertad, 133,",malicious,cmd_parse_error
42ec0sei1a1a,malicious,cmd_parse_error
"echo, ['device', 'data', 'ok', 'ping']",benign,norm
"run_cmd, ADD 990 244",benign,norm
47939000p,malicious,cmd_parse_error
"run_cmd, ADD 504 952",benign,norm
"run_cmd, ADD 755 312",benign,norm
"<div id=xss style=""width: expression(alert('xss'));"">",malicious,cmdi
"run_cmd, echo ['system']",benign,norm
"start_temp_report, 5",benign,norm
almatret,malicious,cmd_parse_error
36930027p,malicious,cmd_parse_error
"run_cmd, ADD 479 427",benign,norm
malcocinado,malicious,cmd_parse_error
caldes,malicious,cmd_parse_error
"1"")) as uels where 9447=9447 or 2633=dbms_pipe.receive_message(chr(112)||chr(65)||chr(65)||chr(103),5)--",malicious,cmdi
"run_cmd, ADD 437 442",benign,norm
56443206x,malicious,cmd_parse_error
"run_cmd, echo ['status']",benign,norm
1858,malicious,cmd_parse_error
"start_temp_report, 87",benign,norm
"start_temp_report, 84",benign,norm
50693,malicious,cmd_parse_error
"echo, ['ping', 'hello', 'mqtt']",benign,norm
"<input type=""image"" id=xss src=""javascript:alert('xss');"">",malicious,cmdi
"run_cmd, echo ['ready', 'data']",benign,norm
"run_cmd, echo ['world', 'iot', 'normal', 'sensor']",benign,norm
"run_cmd, ADD 998 169",benign,norm
"echo, ['report', 'payload']",benign,norm
"echo, ['device', 'mqtt']",benign,norm
22194,malicious,cmd_parse_error
"start_temp_report, 46",benign,norm
42836631m,malicious,cmd_parse_error
"masia can ruti 142, 1-b",malicious,cmd_parse_error
fierro@porqueagel.je,malicious,cmd_parse_error
aburgues1rs7,malicious,cmd_parse_error
benfield@chuecafamily.gs,malicious,cmd_parse_error
7u6can*i2a04n,malicious,cmd_parse_error
cercs,malicious,cmd_parse_error
"echo, ['system', 'status', 'report', 'iot']",benign,norm
6287,malicious,cmd_parse_error
